nom,auteur,editeur,nb_joueurs,age_min,duree,type_jeu,notice,themes,description,image,logo
Revelio,Dave Neale,Gigamic,3 à 6 joueurs,14 ans,25 mn,Tout public,https://www.gigamic.com/files/catalog/products/rules/gigamic_revelio_rules_04-2022_update_bd.pdf,"Médiéval Fantastique, Ere Victorienne, Ere Moderne","Dans Revelio, les joueurs vont incarner un personnage d’un univers spécifique : médiéval-fantastique, époque victorienne ou contemporaine, exerçant une activité précise et gardant un secret bien particulier. A chacun des 5 tours, les joueurs répondront tous à la même question comme le ferait leur personnage, en dévoilant quelques indices sur leur personnalité, afin que les autres finissent par découvrir qui ils sont. Mais pas tous, sinon, le joueur ne marque pas de points. Et lui-même doit trouver l’identité des autres, métier et secret, pour ajouter des points qui lui permettront de remporter la victoire !",https://cdn3.philibertnet.com/566051-large_default/revelio.jpg,https://www.gigamic.com/images/logo.png
Qawale,"Didier Lenain Bragard, Romain FROGER",Gigamic,3 joueurs,8 ans,25 mn,Tout public,https://www.gigamic.com/files/catalog/products/rules/gigamic_gcqw_qawale_rules-us-fr_web.pdf,Quarto,"Alignez vos galets ! Simple et tactique à la fois, Qawale trouve son inspiration dans les piles de galets que l'on trouve au bord des chemins. À l'image de ces pierres qui voyagent, placez un galet au sommet d'une pile avant de l'égrener sur les cases du plateau. Formez une ligne de 4 galets de votre couleur pour remporter la partie.",https://cdn3.philibertnet.com/555256-large_default/qawale.jpg,https://www.gigamic.com/images/logo.png
Phantom Ink,"Mary Flanagan, Max Seidman",Gigamic,4 à 8 joueurs,10 ans,15 mn,Ambiance,https://www.gigamic.com/files/catalog/products/rules/gigamic_phantom-ink_rules_11-2022-_compressed.pdf,"Quizz, Défis, Abstrait, Lettres et Mots","Chacun son tour, le fantôme de l'équipe donne des indices en répondant à une question secrète: il inscrit lettre à lettre sur le Bloc d'écriture le mot avant d'être stoppé par ses médiums le plus tôt possible pour ne pas donner d'indications à l'équipe adverse. La première équipe à trouver le mot mystère remporte la partie!",https://cdn1.philibertnet.com/571573-large_default/phantom-ink.jpg,https://www.gigamic.com/images/logo.png
Triqueta,"Stefan Dorra, Ralf zur Linde",Gigamic,2 à 5 joueurs,8 ans,25 mn,Tout public,https://www.gigamic.com/files/catalog/products/rules/gigamic_triqueta_rules_10-2022_compressed.pdf,Animaux,"Collectionnez des séries de jetons d'animaux mystiques et formez des triquetas parfaites ! Dans Triqueta, le but du jeu est d'obtenir le plus de points en formant des ensembles de  3 tuiles identiques appelées 'Triqueta'. On décide donc du moment idéal pour quitter la manche en ramassant une rangée de tuiles, mais attention, certaines rangées vous feront ramasser des tuiles qui ne vous intéressent pas ou qui vous donneront des points négatifs en fin de partie... Choisissez judicieusement!",https://cdn1.philibertnet.com/571438-large_default/triqueta.jpg,https://www.gigamic.com/images/logo.png
Evergreen,Hjalmar Hach,Gigamic,1 à 4 joueurs,10 ans,45 mn,Tout public,https://www.gigamic.com/files/catalog/products/rules/gigamic_evergreen_rules_10-2022_update-2.pdf,"Nature, Abstrait","Evergreen est un jeu de stratégie abstrait pour 1 à 4 joueurs par Hjalmar Hach, concepteur du jeu primé Photosynthésis, où votre objectif est de construire un écosystème luxuriant, en plantant des graines, en faisant pousser des arbres et en plaçant d'autres éléments naturels sur votre planète, en essayant d'en faire la plus verte et la plus fertile de toutes.",https://cdn2.philibertnet.com/568893-large_default/evergreen.jpg,https://www.gigamic.com/images/logo.png
Cosy Casa,Phil Walker Hardi,Gigamic,2 à 4 joueurs,8 ans,30 mn,Tout public,https://www.play-in.com/pdf/rules_games/cosy_casa_regles.pdf,Moderne & Réaliste,"Vous venez d'emmener chez vous votre nouvelle étagère et il est maintenant temps d'y placer vos objets préférés : livres, jeux de société, portraits... Qui présentera la bibliothèque la mieux organisée ?",https://cdn2.philibertnet.com/566834-large_default/cosy-casa.jpg,https://www.gigamic.com/images/logo.png
Sur le Fil,"Julien Prothière, Juan Rodriguez",Gigamic,2 à 4 joueurs,7 ans,30 mn,Enfants,https://www.gigamic.com/files/catalog/products/rules/gigamic_surlefil_rules_compressed.pdf,Oiseaux,Placez correctement les oiseaux sur le fil pour prendre le plus beau selfie possible ! Tout le monde aime se prendre en selfie… et les oiseaux ne font pas exception ! Les voici qui sautillent joyeusement de fil en fil avant d'immortaliser leurs poses au travers de photos souvenir délirantes. Aide-les à reproduire les figures demandées ,https://cdn2.philibertnet.com/566830-large_default/sur-le-fil.jpg,https://www.gigamic.com/images/logo.png
6 Qui Prend Junior,Wolfgang Kramer,Gigamic,2 à 5 joueurs,5 ans,20 mn,Tout public,https://regle.escaleajeux.fr/6nimj_rg.pdf,Animaux de la Ferme,"Les enfants conduisent les animaux dans les bâtiments de la ferme. Chaque fois qu'un joueur parvient à placer une 6ème espèce animale dans une ferme, il gagne toutes les cartes de la ferme en récompense. Qui sera le meilleur gardien de la ferme?",https://cdn3.trictrac.net/documents/formats/thumb_300_300/documents/originals/ce/7b/e6ca12525d708743ebae9a594aea14184bcb.jpeg,https://www.gigamic.com/images/logo.png
[Kosmopoli:t] - Deuxième Service,"Julien Prothière, Florent Toscano",Jeux Opla,4 à 8 joueurs,9 ans,30 mn,Ambiance,https://www.lad.education/pdf/regle-jeu/kosmopolit-regle-jeu-2020-jeux-opla.pdf,Alimentation,Le restaurant le plus cosmopolite du monde est toujours (plus) ouvert avec désormais 100 langues et dialectes et 3 nouveaux menus : Petits chefs : Les enfants veulent cuisiner ? Une toque sur chaque tête ! / Grands chefs : Des plats plus élaborés ? Il faut désormais plusieurs Cuistots pour les préparer… / Boisson comprise : Quelle boisson pour quel plat ? Tous les rôles sont chahutés par un simple verre !,https://cdn2.philibertnet.com/556687-large_default/-kosmopoli-t-deuxieme-service.jpg,https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png
Apocalypse au zoo de Carson City,"Alexandre Droit, Florent Toscano",Jeux Opla,2 à 4 joueurs,12 ans,30 mn,Tout public,https://cdn.1j1ju.com/medias/d7/1b/fb-apocalypse-au-zoo-de-carson-city-regle.pdf,"Bandes Dessinées, Zombies","Entrez dans l'univers de la bande dessinée de Guillaume Griffon… Au cours de la partie, l'ambiance se tend et vos choix seront capitaux pour vous sortir de là. Vos personnages mutent en zombies, et les animaux de fortes valeurs disparaissent sous les attaques de vos adversaires.",https://cdn3.philibertnet.com/381516-large_default/apocalypse-au-zoo-de-carson-city.jpg,https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png
Cartzzle - La Nuit Etoilée,"Juan Rodriguez, Florent Toscano, David Boniffacy",Jeux Opla,1 à 2 joueurs,8 ans,30 mn,Tout public,https://www.youtube.com/watch?v=G8QTgPTmPpM,Arts,"Cartzzle est un nouveau concept de jeu de société contenant un jeu, une oeuvre d'art et des énigmes. Composez cette interprétation graphique de Pauline Détraz, puis refaites-la en relevant des défis.",https://cdn3.philibertnet.com/552145-large_default/cartzzle-la-nuit-etoilee.jpg,https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png
Cartzzle - Labyrinthe : Champs Dessus Dessous,"Juan Rodriguez, Florent Toscano, David Boniffacy",Jeux Opla,1 à 2 joueurs,8 ans,30 mn,Tout public,https://www.youtube.com/watch?v=G8QTgPTmPpM,Art,"Cartzzle est un nouveau concept de jeu de société contenant un jeu, une oeuvre d'art et des énigmes. Composez cette interprétation graphique de Pauline Détraz, puis refaites-la en relevant des défis.",https://cdn3.philibertnet.com/552147-large_default/cartzzle-labyrinthe-champs-dessus-dessous.jpg,https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png
Cartzzle - Foules,"Juan Rodriguez, Florent Toscano, David Boniffacy",Jeux Opla,1 à 2 joueurs,8 ans,30 mn,Tout public,https://www.youtube.com/watch?v=G8QTgPTmPpM,Arts,"Cartzzle est un nouveau concept de jeu de société contenant un jeu, une oeuvre d'art et des énigmes. Composez cette interprétation graphique de Pauline Détraz, puis refaites-la en relevant des défis.",https://cdn1.philibertnet.com/552143-large_default/cartzzle-foules.jpg,https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png
Mille Fiori,Reiner Knizia,Schmidt Spiele,2 à 4 joueurs,10 ans,45 mn,Tout public,https://cdn.1j1ju.com/medias/85/4c/f3-mille-fiori-regle.pdf,Verre,"Dans Mille Fiori, vous jouez le rôle de fabricants et de négociants en verre qui veulent profiter au maximum de leur rôle dans la production de l'art du verre.",https://cdn1.philibertnet.com/531472-large_default/mille-fiori.jpg,https://www.schmidtspiele.de/files/layout/logo.png
Le Grand Prix de Belcastel,Wolfgang Warsch,Schmidt Spiele,2 à 4 joueurs,6 ans,30 mn,Tout public,https://cdn.1j1ju.com/medias/03/c3/2b-le-grand-prix-de-belcastel-regle.pdf,Moyen Age,"Le Grand Prix de Belcastel est un jeu de course familial , où vous devrez faire avancer votre animal en le nourrissant et ainsi tenter de remporter la course du chaudron d'or !",https://cdn3.philibertnet.com/537606-large_default/le-grand-prix-de-belcastel.jpg,https://www.schmidtspiele.de/files/layout/logo.png
Funfair,Joel Finch,Lucky Duck Games,2 à 4 joueurs,10 ans,45 mn,Tout public,https://y8t6p8a4.map2.ssl.hwcdn.net/downloads/December2022/ebad357d03bda48a1baf763ff506d4ce.pdf,Loisirs,"Choissisez et construisez un mélange passionnant d’attractions dans votre propre parc à thème ! Améliorez vos attractions pour qu’elles correspondent aux plans ou simplement pour ériger des manèges imposants qui attirent les foules et rapportent le plus d’argent. Embauchez des membres du personnel et construisez de super attractions pour maximiser la stratégie de votre parc en vue de la victoire ! Avec une configuration et un gameplay rapides, Funfair est un jeu amusant et familial. Des objectifs faciles à complexes, de nombreuses cartes offrent de nombreux plans de jeu aux joueurs, qu’ils soient novices ou expérimentés.",https://cdn3.philibertnet.com/542598-large_default/funfair.jpg,https://y8t6p8a4.map2.ssl.hwcdn.net/img/luckyduck-logo.png
Flamecraft,Manny Vega,Lucky Duck Games,1 à 5 joueurs,14 ans,90 mn,Tout public,https://cdn.1j1ju.com/medias/44/fe/3f-flamecraft-regle.pdf,"Asie, Fantastique","Dans Flamecraft, 1 à 5 joueurs jouent le rôle des gardiens de flammes, rassemblant des objets, plaçant des dragons et lançant des enchantements pour améliorer les boutiques de la ville.",https://cdn1.philibertnet.com/555165-large_default/flamecraft.jpg,https://y8t6p8a4.map2.ssl.hwcdn.net/img/luckyduck-logo.png
Suburbia,Ted Alspach,Lucky Duck Games,1 à 4 joueurs,14 ans,90 mn,Tout public,https://y8t6p8a4.map2.ssl.hwcdn.net/downloads/October2022/b1a733197659b629a8a9e8f6f4018897.pdf,Construction de ville,"Planifiez, construisez et développez votre petite ville en une grande métropole !  Utilisez des tuiles de construction hexagonales pour ajouter des zones résidentielles, commerciales, civiques et industrielles, ainsi que des points d’intérêt spéciaux qui offrent des avantages et tirent parti des ressources des villes voisines. Votre objectif est de faire prospérer votre arrondissement et de vous retrouver avec une population plus importante que n’importe lequel de vos adversaires.",https://cdn2.philibertnet.com/543568-large_default/suburbia.jpg,https://y8t6p8a4.map2.ssl.hwcdn.net/img/luckyduck-logo.png
Le Roi des 12,Rita Modl,Lucky Duck Games,2 à 4 joueurs,10 ans,30 mn,Tout public,https://www.play-in.com/pdf/rules_games/le_roi_des_12_regles_fr.pdf,Moyen Age,Le Roi des 12 est un jeu de dés rapide et amusant dans lequel vous essayerez de vous emparer du trône. Affrontez les autres prétendants grâce à vos pierres à douze faces !,https://cdn1.philibertnet.com/498757-large_default/le-roi-des-12.jpg,https://y8t6p8a4.map2.ssl.hwcdn.net/img/luckyduck-logo.png
Earth,Maxime Tardif,Lucky Duck Games,1 à 5 joueurs,14 ans,90 mn,Experts,https://www.dropbox.com/s/jsern0ie8ycr980/Earth%20Rulebook_VF_LD.pdf?dl=0,"Animaux, Ecologie, Nature","Earth est un jeu de construction de moteur dans lequel 1 à 5 joueurs ont pour objectif de créer des écosystèmes autosuffisants. Earth est un jeu aux règles simples, mais offrant de multiples possibilités stratégiques.",https://cdn3.philibertnet.com/564233-large_default/earth.jpg,https://y8t6p8a4.map2.ssl.hwcdn.net/img/luckyduck-logo.png
Bagarre !,Benjamin Roucayrol,Benjamin Roucayrol,3 à 6 joueurs,10 ans,30 mn,Ambiance,https://benjaminroucayrol.com/bagarre,"Coopératives agricoles, paysans",Vous êtes à la tête d’une des 3 coopératives agricoles qui nourrit notre bonne vieille France. Votre but ? Devenir le leader sur le marché et arriver à écouler vos produits en premier.,https://benjaminroucayrol.com/wp-content/uploads/2020/11/Software_Box_Mockup_1-600x420.png,https://benjaminroucayrol.com/wp-content/uploads/2023/01/cropped-cropped-baniere-hiver.png
Randognon,Benjamin Roucayrol,Benjamin Roucayrol,1 à 6 joueurs,8 ans,45 mn,Tout public,https://benjaminroucayrol.com/download/909/,Randonnée,"Comme son nom l’indique (pas trop), Randognon est un jeu de randonnée (pas trop) mignon ou le but est d'arriver vivant.",https://benjaminroucayrol.com/wp-content/uploads/2021/05/Randognon-boite-300x244.png,https://benjaminroucayrol.com/wp-content/uploads/2023/01/cropped-cropped-baniere-hiver.png
Zoo-en-Boîte,,Smart Games,1 joueur,2 ans,15 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/zoo-en-bo%C3%AEte,"Animaux du Zoo, Cubes","Jouons à cache-cache avec les animaux du zoo… Après avoir choisi un défi, il nous faudra empiler les cubes de telle manière que seuls les animaux demandés apparaissent face à nous. « Zoo en Boîte » est un jeu de manipulation et d’observation pour les petits qui intègre les notions de couleurs, de formes, de perspective, d'intérieur et d’extérieur. Fabriqué à partir de pièces en carton fort, ce jeu trouvera sa place dans toutes les chambres d’enfants.",https://cdn3.philibertnet.com/559691-large_default/zoo-en-boite.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Safari Photo,,Smart Games,1 joueur,3 ans,,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/safari-photo,Animaux,"Trois, deux, un… on ne bouge plus ! Safari Photo est un jeu de logique dans lequel il faudra disposer trois animaux de façon à reproduire un cadre de photo donné ! Rappelez-vous que le lion n’aime pas l’eau, l’éléphant ne peut pas passer entre les rochers et les girafes sont trop grandes pour passer sous les arbres. Un jeu d’apprentissage deux en un pour les petits qui leur proposera soit de déplacer les animaux dans la savane selon leur imagination, soit de résoudre les défis proposés. « Safari Photo » est un jeu pour appréhender les formes, ainsi que les notions de dessus, dessous, derrière, devant, à droite, à gauche… Observez les formes des pieds de jeu et suivez le chemin !",https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SG_SafariParkJr_PDPbanner-FR.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Chats Tournent en Rond,,Smart Games,1 joueur,7 ans,15 mn,Tout public,https://www.smartgames.eu/fr/jeux-pour-1-joueur/chats-tournent-en-rond,Chats,"Les chats adorent se cacher dans des boîtes en carton ! Déplacez les pièces de jeu l'une après l'autre jusqu'à ce que chaque chat soit dans un carton ! Arriverez-vous à trouver un coin douillet pour chacun des chats ? Un jeu de mouvement séquentiel pour petits et grands, dans un format pratique pour l'emporter partout.",https://d32bxxnq6qs937.cloudfront.net/sites/default/files/GBS_Cats%26Boxes_PDPbanner-FR_0.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Parc'Ours en Forêt,,Smart Games,1 joueur,7 ans,25 mn,Tout public,https://www.smartgames.eu/fr/jeux-pour-1-joueur/parc%E2%80%99ours-en-for%C3%AAt,"Nature, Animaux","Faites tourner les sapins, petits et grands, pour déplacer les figurines des personnages et des animaux afin de les aider à rejoindre leurs parents ou leur habitat. Cependant, faites attention, seul l'ourson pourra approcher maman ourse sans danger ! Découvrez une subtile mécanique d’engrenages pour résoudre les 80 défis évolutifs du livret, de facile à difficile.",https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_SG-531_Grizzly-Gears_product-packaging_6cc1d1.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
La Cité d'Or,,Smart Games,1 joueur,8 ans,25 mn,Tout public,"https://www.smartgames.eu/fr/jeux-pour-1-joueur/la-cit%C3%A9-d%E2%80%99or#:~:text=Disposez%20les%20quatre%20tuiles%20hexagonales,Cit%C3%A9%20d'Or%20est%20fig%C3%A9e.",Exploration,Explorez le vaste monde et partez à la recherche de la Cité d’Or cachée…,https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_SG-098_Treasure-Island_product-packaging_847a3e.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
IQ Circuit,,Smart Games,1 joueur,8 ans,,Tout public,https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-circuit,Abstrait,Le jeu IQ Circuit contient 120 défis à réaliser où vous devrez être astucieux et placer toutes les pièces du puzzle sur le plateau de jeu pour réaliser des circuits.,https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_IQ-467_IQ-Circuit_product-packaging_9567e9.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
IQ Six Pro,,Smart Games,1 joueur,8 ans,,Tout public,https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-six-pro,Abstrait,Q Six Pro est un jeu de voyage compact idéal. Mettez votre logique et votre réflexion à rude épreuve en relevant cent défis de différents niveaux de complexité.,https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_SG-479_IQ-Six-Pro_product-packaging_97f9cc%20%281%29_3.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
IQ Love,,Smart Games,1 joueur,7 ans,,Tout public,https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-love,Abstrait,IQ Love est un jeu de voyage compact idéal. Mettez votre logique et votre réflexion à rude épreuve en relevant cent défis de différents niveaux de complexité.,https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_SG-302_IQ-Love_product-packaging_2af93d_5.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
IQ Stixx,,Smart Games,1 joueur,7 ans,,Tout public,https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-stixx,Abstrait,"IQ Stixx est un jeu de casse-têtes solo, proposant 120 défis à difficulté croissante.Empilez les bâtonnets colorés pour obtenir la bonne combinaison.",https://cdn2.philibertnet.com/545989-large_default/iq-stixx.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Lex Go! Harry Potter,,Winning Moves,2 à 4 joueurs,8 ans,30 mn,Tout public,https://www.winningmoves.fr/wp-content/uploads/regles/3700126904592.pdf,Magie,"Créez des mots, modifiez ceux de vos adversaires utilisez des sorts issus de l'univers Harry Potter et criez 'Lex Go !' lorsque vous n’avez plus de lettres !",https://cdn3.philibertnet.com/484347-large_default/lexicon-go-harry-potter.jpg,https://www.winningmoves.fr/wp-content/uploads/2022/04/Logo-Winning-Moves.png
Lex Go! Disney,,Winning Moves,2 à 4 joueurs,8 ans,15 mn,Tout public,https://www.winningmoves.fr/wp-content/uploads/regles/3700126902956.pdf,univers Disney,Entrez dans l'univers Disney et débarrassez-vous de toutes vos lettres le plus rapidement possible avec ce jeu de lettres nomade et amusant !,https://cdn.shopify.com/s/files/1/0620/9254/2115/products/21849.jpg?v=1664671957&width=823,https://www.winningmoves.fr/wp-content/uploads/2022/04/Logo-Winning-Moves.png
Top Trumps Battle Mat Harry Potter,,Winning Moves,2 à 6 joueurs,6 ans,25 mn,Tout public,https://regle.escaleajeux.fr/toptr_rg.pdf,Harry Potter,"Jouez avec vos héros favoris de la saga Harry Potter dans ce Battle Map Top Trumps Harry Potter. Plongez dans le monde magique d’Harry Potter et rejoignez tous vos héros préférés dans une série de duels stratégiques. Le jeu Battle Map Top Trumps Harry Potter se joue en plusieurs manches, c’est le premier joueur qui remporte 6 duels qui sera désigné le grand vainqueur !",https://www.winningmoves.fr/wp-content/uploads/5036905044592_1-300x300.jpg,https://www.winningmoves.fr/wp-content/uploads/2022/04/Logo-Winning-Moves.png
Top Trumps Battle Mat Miraculous,,Winning Moves,2 à 6 joueurs,6 ans,30 mn,Tout public,https://regle.escaleajeux.fr/toptr_rg.pdf,"Superhéros, Fantastique","Dans Top Trumps, l’objectif du jeu est de récupérer toutes les cartes de ses adversaires en choisissant sa meilleure caractéristique des personnages de Miraculous Ladybug.",https://cdn1.philibertnet.com/482259-large_default/top-trumps-miraculous.jpg,https://www.winningmoves.fr/wp-content/uploads/2022/04/Logo-Winning-Moves.png
Le Jeu des Cochons,David Moffat,Winning Moves,2 à 10 joueurs,7 ans,25 mn,Tout public,https://regle.escaleajeux.fr/j_cch_rg.pdf,Cochons (Dés),"Que ce soit avec des amis à une fête, dans le parc, pendant un trajet en train ou en vacances : Le jeu des Cochons est le jeu marrant à jouer sur le chemin ou à la maison et toujours prêt pour un grognement de rire !",https://cdn1.philibertnet.com/421635-large_default/jeu-de-cochon-big-pigs.jpg,https://www.winningmoves.fr/wp-content/uploads/2022/04/Logo-Winning-Moves.png
Narcopolis,,Open World Editions,2 à 5 joueurs,14 ans,45 mn,Tout public,https://www.play-in.com/pdf/rules_games/narcopolis_regles_fr.pdf,Gangsters années 20,"Deals de business, fights clubs, financements occultes de politiciens, assassinats et corruptions sont parmi les nombreuses actions possibles à Narcopolis. Dans ce jeu de stratégie, de bluff, et de de développement de ressources, tout est permis pour régler ses comptes avec ses amis. Tu as toujours rêvé d’être un gangster et de ne plus avoir de limites ? Narcopolis est ton nouveau terrain de jeu ! Plonge dans le grand bain, sois malin, diplomate, fourbe, sans pitié, et deviens le nouveau Boss de la ville. N'oublie jamais : Sky and guns are the limits.",https://openworldeditions.com/wp-content/uploads/2020/02/narco-1.jpg,https://openworldeditions.com/wp-content/uploads/2022/09/OpenWorld_logoTransparent_white-150x118.png
Ethérium,,Les éditions du Crapaud Céleste,3 à 6 joueurs,14 ans,90 mn,Experts,https://www.crapaudceleste.com/jeux/etherium,"Science-fiction, mystique",Etherium est une planète qui renferme en son sein une ressource précieuse: l'Ether. Cette substance permet de remodeler la gravité et attise bien de convoitise. Six lunes gravitent autour d'Etherium. Chacune d'elle abrite un peuple unique qui compte bien prendre le contrôle du précieux Ether.  L'équilibre était jusqu'ici maintenu mais tout s'apprête à  basculer.,https://www.crapaudceleste.com/images/ehterium/Harmoniques_2_petit.jpg,https://www.crapaudceleste.com/templates/technicar/images/logocrapaudpetit.png
Trio,Kaya Miyano,Cocktail Games,3 à 6 joueurs,7 ans,30 mn,Tout public,https://www.cocktailgames.com/wp-content/uploads/2022/11/trio_regles_BD.pdf,Amérique,"Trio est un jeu de cartes, simple et rapide, dans lequel vous devrez trouver les trios de cartes identiques parmi celles en jeu et dans les mains de vos adversaires.",https://cdn2.philibertnet.com/570387-large_default/trio.jpg,https://www.cocktailgames.com/wp-content/uploads/2016/02/cocktailgames-logo-retina.png
Happy City - Grozilla,Airu & Toshiki Sato,Cocktail Games,2 à 5 joueurs,10 ans,45 mn,Tout public,https://www.cocktailgames.com/wp-content/uploads/2022/10/Happy_city_grozilla_regles_1221_BD.pdf,Construction de ville,Happy City - Grozilla est une extension pour le jeu Happy City. Des monstres envahissent votre ville et vont bouleverser son développement !,https://cdn3.philibertnet.com/567017-large_default/happy-city-grozilla.jpg,https://www.cocktailgames.com/wp-content/uploads/2016/02/cocktailgames-logo-retina.png
Super Mega Lucky Box,Phil Walker-Harding,Cocktail Games,1 à 6 joueurs,8 ans,30 mn,Ambiance,https://www.cocktailgames.com/wp-content/uploads/2022/02/Regles_SMLB_0122_BD.pdf,Abstrait,"Un jeu trépidant d'un plaisir sans égal ! Dévoilez les chiffres un par un, et rayez les cases correspondantes sur vos cartes. Si vous en obtenez trois à la suite, vous débloquerez des bonus qui vous permettront de rayer plus de cases, de déclencher des bonus encore plus importants et d'augmenter votre score ! Tout le monde joue en même temps, alors on ne s'ennuie jamais ! Pour gagner, il vous faudra un peu de stratégie et un peu de Super Mega Chance ! Un jeu simple, gratifiant et super fun !",https://cdn1.philibertnet.com/552782-large_default/super-mega-lucky-box.jpg,https://www.cocktailgames.com/wp-content/uploads/2016/02/cocktailgames-logo-retina.png
Maudit Mot Dit,"Nathalie Saunier, Rémi Saunier, Laurent Prin",Cocktail Games,3 à 6 joueurs,12 ans,30 mn,Ambiance,https://www.cocktailgames.com/wp-content/uploads/2022/02/Maudit_mot_dit_regles_0122_BD.pdf,"Devinette, Mot","Maudit Mot Dit est un jeu dans lequel vous allez devoir faire deviner un mot en un nombre d'indices imposé ! Mais attention à ce qu'il ne soit pas deviné trop vite, ou pas deviné du tout ! Un jeu très malin dans une magnifique petite boite.",https://cdn1.philibertnet.com/542983-large_default/maudit-mot-dit.jpg,https://www.cocktailgames.com/wp-content/uploads/2016/02/cocktailgames-logo-retina.png
Mimtoo Pop Culture,Nicolas Bourgoin,Cocktail Games,4 à 10 joueurs,10 ans,45 mn,Ambiance,https://www.cocktailgames.com/wp-content/uploads/2022/03/Mimtoo_pop_culture_regles_BD.pdf,"Devinettes, Personnages et Actions","Mimez et bruitez des phrases uniques et détonantes, en mélangeant les personnages et les actions ! 100% clins d’œil pop culture : Yoda qui est sapé comme jamais… Un gremlin qui a les yeux couleur menthe à l’eau… Des centaines de références hilarantes à retrouver !",https://cdn1.philibertnet.com/553641-large_default/mimtoo-pop-culture.jpg,https://www.cocktailgames.com/wp-content/uploads/2016/02/cocktailgames-logo-retina.png
Inflexibles : Afrique du Nord,"Trevor Benjamin, David Thompson",Nut’s Publishing ,2 joueurs,14 ans,45 mn,Experts,https://www.play-in.com/pdf/rules_games/inflexibles_-_afrique_du_nord_regles_fr.pdf,"Guerre, Histoire","Dans Inflexibles : Afrique du Nord vous commandez un groupe de spécialiste de la guerre du désert ou une unité de l’armée italienne conventionnelle. Au travers d’une série de mission, vous devrez lutter pour prendre, tenir ou détruire des objectifs stratégiques.",https://cdn3.philibertnet.com/555436-large_default/inflexibles-afrique-du-nord.jpg,https://www.nutspublishing.com/eshop/image/cache/data/logo/logo_nuts-230x230.jpg
Not Alone,Ghislain Masson,Geek Attitude Games,2 à 7 joueurs,10 ans,45 mn,Initiés,https://cdn.1j1ju.com/medias/f5/68/d2-not-alone-regle.pdf,"Fantastique, Survie","Nous sommes au 25e siècle. Vous êtes membre d'une expédition intergalactique qui a fait naufrage sur une mystérieuse planète nommée Artemia. En attendant le vaisseau de secours, vous commencez à explorer la planète, mais une entité extraterrestre détecte votre odeur et commence à vous chasser. Vous n'êtes pas seul ! Survivrez-vous aux dangers d'Artemia ?",https://cdn2.philibertnet.com/360099-thickbox_default/not-alone.jpg,https://www.geekattitudegames.com/wp-content/uploads/2018/12/logo-site-1.png
Sub Terra 2,Tim Pinder,Nut’s Publishing ,1 à 6 joueurs,14 ans,45 mn,Tout public,https://www.dropbox.com/s/l8kp30u9zlaegmp/ST2_Inferno-Regles-PRINT-V6.pdf?dl=0,"Temple, Volcan, Trésor (Artefact)","Sub Terra 2 est un jeu coopératif pour un à six joueurs. Vous devez travailler ensemble pour explorer le temple, déverrouillez le sanctuaire et vous échappez avec l’artefact légendaire.",https://cdn1.philibertnet.com/569290-large_default/sub-terra-ii.jpg,https://www.nutspublishing.com/eshop/image/cache/data/logo/logo_nuts-230x230.jpg
